id,name_primary,name_en,type_vn,type_en,source,state,inedible_portion_pct,calories_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,sodium_mg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,zinc_mg,copper_mcg,manganese_mg,beta_carotene_mcg,vitamin_a_mcg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,vitamin_c_mg,vitamin_b1_mg,vitamin_b2_mg,vitamin_pp_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_h_mcg,last_verified
fao_vn_2007_1001_raw,Gạo nếp cái,"Glutinous rice, milled",Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,344.0,8.6,74.5,1.5,0.6,3.0,32.0,1.2,17.0,98.0,282.0,2.2,280.0,1.1,0.0,0.0,0.0,,,0.0,0.14,0.06,2.4,,,,,,2026-02-26
fao_vn_2007_1002_raw,Gạo nếp máy (Loại thường),"Glutinous rice, milled",Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,346.0,8.4,74.9,1.6,0.5,3.0,16.0,1.2,17.0,130.0,282.0,2.2,280.0,1.1,0.0,0.0,,,,0.0,0.16,0.06,2.4,0.284,0.107,0.0,0.0,,2026-02-26
fao_vn_2007_1003_raw,Gạo tẻ giã,"Under milled, home-pounded rice",Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,344.0,8.1,75.0,1.3,0.7,5.0,36.0,0.2,52.0,108.0,202.0,1.9,360.0,1.5,0.0,0.0,,,,0.0,0.12,0.04,1.9,,,,,3.0,2026-02-26
fao_vn_2007_1004_raw,Gạo tẻ máy,Ordinary polished rice,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,344.0,7.9,75.9,1.0,0.4,5.0,30.0,1.3,14.0,104.0,241.0,1.5,230.0,0.9,0.0,0.0,,,,0.0,0.1,0.03,1.6,1.342,0.145,0.0,0.0,3.0,2026-02-26
fao_vn_2007_1005_raw,Gạo lứt,"Rice, brown or hulled",Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,345.0,7.5,72.8,2.7,3.4,5.0,16.0,2.8,52.0,246.0,202.0,1.9,360.0,1.5,0.0,0.0,,,,0.0,0.34,0.07,5.0,1.5,0.62,0.0,,,2026-02-26
fao_vn_2007_1006_raw,Kê,Foxtail millet,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,2.0,331.0,7.0,69.0,3.0,3.4,7.0,22.0,2.7,430.0,290.0,249.0,1.5,440.0,1.7,60.0,0.0,,0.05,0.9,0.0,0.4,0.09,1.6,0.848,0.384,0.0,0.0,,2026-02-26
fao_vn_2007_1007_raw,Ngô bắp tươi,"Fresh maize seeds, raw",Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,45.0,196.0,4.1,39.6,2.3,1.2,3.0,4.0,0.6,39.0,170.0,306.0,1.4,240.0,0.35,,0.0,,0.8,0.0,12.0,0.15,0.08,1.8,0.54,0.16,0.0,0.0,0.5,2026-02-26
fao_vn_2007_1008_raw,Ngô vàng hạt khô,"Yellow maize, dried seeds",Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,2.0,354.0,8.6,69.4,4.7,2.0,35.0,30.0,2.3,127.0,190.0,287.0,2.21,314.0,0.49,97.0,0.0,,0.49,0.3,0.0,0.28,0.11,2.0,0.424,0.622,0.0,0.0,,2026-02-26
fao_vn_2007_1009_cooked,Bánh bao nhân thịt,"Ball shaped dumpling, Vietnamese steamed buns",Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,cooked,0.0,219.0,6.1,47.5,0.5,0.5,,19.0,1.5,,88.0,,,,,0.0,0.0,,,,,0.1,0.04,1.0,,,,,,2026-02-26
fao_vn_2007_1010_raw,Bánh đa nem,Rice paper for rollers,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,333.0,4.0,78.9,0.2,0.5,,20.0,0.3,,65.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2026-02-26
fao_vn_2007_1011_raw,Bánh đúc,Rice pudding,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,52.0,0.9,11.3,0.3,0.1,,50.0,0.4,,19.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,2026-02-26
fao_vn_2007_1012_raw,Bánh mỳ,French bread,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,249.0,7.9,52.6,0.8,0.2,,28.0,2.0,,164.0,,,,,0.0,0.0,,,,0.0,0.1,0.07,0.7,,,,,,2026-02-26
fao_vn_2007_1013_raw,Bánh phở,Rice noodles,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,143.0,3.2,31.7,0.4,0.0,3.0,16.0,0.3,,64.0,15.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.2,,,,,,2026-02-26
fao_vn_2007_1014_cooked,Bánh quẩy,Wheat fritters twisted fried,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,cooked,0.0,292.0,8.0,40.7,10.8,0.7,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,2026-02-26
fao_vn_2007_1015_raw,Bỏng ngô,Corn flakes,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,372.0,8.6,80.8,1.6,3.4,,3.0,0.6,,47.0,,,,,0.0,0.0,,,,0.0,0.02,0.03,0.6,,,,,,2026-02-26
fao_vn_2007_1016_raw,Bột gạo nếp,Glutinous rice flour,Ngũ cốc và sản phẩm chế biến,Cereal and products,FAO_VN_2007,raw,0.0,362.0,8.2,78.8,1.6,0.6,3.0,12.0,0.8,18.0,148.0,293.0,2.29,291.0,1.14,0.0,0.0,,,,0.0,0.1,0.02,1.7,0.295,0.111,0.0,0.0,,2026-02-26
